episode,total_reward
1,-18.499238967895508
2,-13.673773312941194
3,-12.141588106751442
4,-16.129512310028076
5,-11.636594519019127
6,-33.847226266046164
7,-4.569589595612449
8,-17.31063461303711
9,-14.529816813766956
10,-9.07883358001709
11,-16.01586963236332
12,-16.97863801149108
13,-8.404603779315948
14,-28.1040096282959
15,-9.07883358001709
16,-10.885927895067315
17,-22.80258429445803
18,-6.80677586391576
19,-10.81014008820057
20,-24.76390266418457
21,5.914918661117554
22,-18.018768433709738
23,-17.966554164886475
24,-10.364129036664963
25,-8.538655638694763
26,-8.622817128896713
27,3.359557792544365
28,-4.075516402721405
29,-17.966554164886475
30,-8.588839530944824
31,-5.278304100036621
32,-17.966554164886475
33,-15.503366515040398
34,1.4735799729824066
35,-1.9876487255096436
36,-0.5816264748573303
37,-11.827876567840576
38,5.914918661117554
39,-29.856241106987
40,-3.6253318786621094
41,-8.966496661305428
42,-4.9347034096717834
43,-5.157827436923981
44,1.4735799729824066
45,-5.157827436923981
46,-3.042556270956993
47,5.914918661117554
48,-19.582639575004578
49,5.914918661117554
50,-22.87712275981903
51,-17.966554164886475
52,-22.87712275981903
53,-5.157827436923981
54,2.7764243483543396
55,-3.6253318786621094
56,-17.976245284080505
57,-2.968760669231415
58,-22.87712275981903
59,-22.87712275981903
60,2.7764243483543396
61,-6.934510380029678
62,-17.177775263786316
63,-3.8837923407554626
64,-3.8837923407554626
65,-3.8837923407554626
66,-17.68907654285431
67,-10.633875846862793
68,-0.007035672664642334
69,-17.68907654285431
70,-7.111206650733948
71,-10.633875846862793
72,-7.111206650733948
73,-0.007035672664642334
74,-11.443984881043434
75,-15.733813643455505
76,-17.46453893184662
77,-7.111206650733948
78,-0.007035672664642334
79,-0.007035672664642334
80,-14.758890867233276
81,-9.142125859856606
82,-7.111206650733948
83,-15.733813643455505
84,-17.268754601478577
85,-1.6924085021018982
86,-2.230255603790283
87,-17.268754601478577
88,-17.268754601478577
89,-17.268754601478577
90,-1.6924085021018982
91,-9.653477549552917
92,-13.672099113464355
93,-3.39290452003479
94,-3.39290452003479
95,-4.958479970693588
96,-13.672099113464355
97,-10.633875846862793
98,-17.31063461303711
99,-17.31063461303711
100,-13.616348981857298
101,-16.032121181488037
102,-12.938302159309387
103,-17.31063461303711
104,-24.76390266418457
105,-18.499238967895508
106,-24.76390266418457
107,-24.76390266418457
108,-24.76390266418457
109,-24.76390266418457
110,-10.633875846862793
111,-10.633875846862793
112,-8.314261257648468
113,-9.07883358001709
114,-10.422851249575615
115,-10.633875846862793
116,-8.314261257648468
117,-18.499238967895508
118,-17.31063461303711
119,-24.76390266418457
120,-18.499238967895508
121,-7.875504031777382
122,-18.499238967895508
123,-17.31063461303711
124,-17.819756910204887
125,-17.819756910204887
126,-9.07883358001709
127,-10.633875846862793
128,-14.984831519424915
129,-24.76390266418457
130,-14.984831519424915
131,-24.76390266418457
132,-24.76390266418457
133,-18.49923896789551
134,-24.76390266418457
135,-18.49923896789551
136,-24.76390266418457
137,-11.410173633852791
138,-18.49923896789551
139,-10.633875846862793
140,-10.633875846862793
141,-14.293114675192218
142,-9.07883358001709
143,-14.293114675192218
144,-15.669517993927002
145,-14.293114675192218
146,-16.789772633691427
147,-19.83659327030182
148,-22.657848958154318
149,-7.6591672142645955
150,-19.83659327030182
151,-13.923850606279984
152,-18.551727187573306
153,-18.551727187573306
154,-7.3803482213807
155,-43.26404942268073
156,-9.684152495800845
157,-6.033251301367272
158,-13.557372528433199
159,-1.2883852838867824
160,-6.033251301367272
161,-6.033251301367272
162,-24.015003696997155
163,-24.015003696997155
164,-7.3803482213807
165,-7.3803482213807
166,-24.015003696997155
167,-6.033251301367272
168,4.8679466089415655
169,4.8679466089415655
170,4.8679466089415655
171,2.4449970564055548
172,-24.015003696997155
173,2.4449970564055548
174,-19.037201774060122
175,-26.745003239233483
176,-26.745003239233483
177,26.40499637929679
178,1.1221515974211798
179,26.40499637929679
180,-26.745003239233483
181,2.4449970564055548
182,26.40499637929679
183,-26.745003239233483
184,14.23999737111808
185,14.23999737111808
186,-24.015003696997155
187,-24.015003696997155
188,14.23999737111808
189,14.23999737111808
190,16.694997294824134
191,14.23999737111808
192,2.4449970564055548
193,14.23999737111808
194,-24.015003696997155
195,-24.015003696997155
196,2.4449970564055548
197,2.4449970564055548
198,-20.919199482519616
199,-1.3475007474121412
200,2.4449970564055548
201,26.40499637929679
202,-26.745003239233483
203,-24.015003696997155
204,-24.015003696997155
205,2.4449970564055548
206,-48.412531391699304
207,2.4449970564055548
208,26.40499637929679
209,26.40499637929679
210,14.23999737111808
211,-24.015003696997155
212,14.23999737111808
213,2.4449970564055548
214,-24.015003696997155
215,-24.015003696997155
216,14.23999737111808
217,12.009072764794837
218,2.4449970564055548
219,26.40499637929679
220,-13.077772586690799
221,-24.015003696997155
222,16.694997294824134
223,2.4449970564055548
224,2.4449970564055548
225,16.694997294824134
226,-20.00021881458133
227,16.694997294824134
228,14.23999737111808
229,14.23999737111808
230,16.694997294824134
231,16.694997294824134
232,26.40499637929679
233,16.694997294824134
234,-26.745003239233483
235,-26.745003239233483
236,-24.015003696997155
237,2.4449970564055548
238,26.40499637929679
239,-3.744093549191348
240,14.23999737111808
241,14.23999737111808
242,14.23999737111808
243,2.4449970564055548
244,14.23999737111808
245,2.4449970564055548
246,-9.81798296441253
247,16.694997294824134
248,26.40499637929679
249,14.23999737111808
250,8.400748713891517
251,-21.908732477734162
252,-26.745003239233483
253,-26.745003239233483
254,-24.015003696997155
255,26.40499637929679
256,-24.015003696997155
257,26.40499637929679
258,-26.745003239233483
259,-26.745003239233483
260,-13.541960255224694
261,26.40499637929679
262,2.4449970564055548
263,1.1837487062621221
264,14.23999737111808
265,-26.745003239233483
266,-26.745003239233483
267,14.23999737111808
268,-26.745003239233483
269,26.40499637929679
270,26.40499637929679
271,-26.745003239233483
272,16.694997294824134
273,14.23999737111808
274,26.40499637929679
275,-20.926501679271695
276,-24.015003696997155
277,26.40499637929679
278,16.694997294824134
279,-26.745003239233483
280,14.23999737111808
281,-19.317014487702437
282,14.23999737111808
283,-26.745003239233483
284,2.4449970564055548
285,26.40499637929679
286,-11.609325659214846
287,-43.26404942268073
288,16.694997294824134
289,16.694997294824134
290,26.40499637929679
291,16.694997294824134
292,-26.745003239233483
293,-19.972501701086458
294,14.23999737111808
295,16.694997294824134
296,16.694997294824134
297,14.23999737111808
298,-21.539149480147074
299,26.40499637929679
300,-24.015003696997155
301,14.23999737111808
302,-24.015003696997155
303,26.40499637929679
304,14.23999737111808
305,14.23999737111808
306,6.50444649068595
307,26.40499637929679
308,-24.015003696997155
309,-24.015003696997155
310,-26.745003239233483
311,-26.745003239233483
312,14.23999737111808
313,-24.015003696997155
314,-24.015003696997155
315,2.4449970564055548
316,26.40499637929679
317,-7.758000927421776
318,2.4449970564055548
319,-26.745003239233483
320,-26.745003239233483
321,14.23999737111808
322,-25.992441639693894
323,14.23999737111808
324,26.40499637929679
325,14.23999737111808
326,-24.015003696997155
327,-26.745003239233483
328,26.40499637929679
329,26.40499637929679
330,26.40499637929679
331,14.23999737111808
332,2.4449970564055548
333,-24.015003696997155
334,26.40499637929679
335,-24.015003696997155
336,26.40499637929679
337,-7.782045257031314
338,16.694997294824134
339,-23.07151009452283
340,14.23999737111808
341,14.23999737111808
342,16.694997294824134
343,2.4449970564055548
344,-24.015003696997155
345,26.40499637929679
346,2.4449970564055548
347,26.40499637929679
348,14.23999737111808
349,16.694997294824134
350,-26.745003239233483
351,-3.4690999312183948
352,-0.5056964277619045
353,-45.43808223398446
354,8.341523039401181
355,-19.6623457788819
356,26.40499637929679
357,-20.4392012476319
358,-24.015003696997155
359,-24.015003696997155
360,26.40499637929679
